100 RANGELINE RD S,-92.19779838,38.94632808,CO
100 RED TAIL DR ,-92.26174337,38.76379506,AS
100 REEDSPORT RIDGE ,-92.40003641,38.95736319,CO
100 RENEE DR ,-92.26195778,38.76502851,AS
100 RIDGELEY RD E,-92.33777978,38.93966164,CO
100 ROCHFORD ST S,-92.27793341,39.2330211,ST
100 ROLLINS ST S,-92.13752969,39.21118589,CE
100 ROTHWELL DR ,-92.393754,38.95459665,CO
100 ROUTE B  N,-92.22063998,39.11675466,HA
100 RUBY LN ,-92.2230018,39.11666429,HA
100 SANDERS CT ,-92.24522494,38.96125057,CO
100 SANDKER LN ,-92.33910595,39.00445267,CO
100 SAPPINGTON DR ,-92.36594193,38.95215296,CO
100 SEA EAGLE DR ,-92.33824751,38.98387726,CO
100 SEXTON RD E,-92.33684385,38.95956464,CO
100 SHAD BUSH DR ,-92.39328902,38.95788527,CO
100 SNOW PEAK CT ,-92.33651164,39.00305376,CO
100 SONDRA AVE ,-92.33869752,38.97096535,CO
100 SOUTHAMPTON DR ,-92.33829713,38.89960495,CO
100 SPANGLER LN E,-92.34624818,38.83602353,CO
100 STARLA RD E,-92.33907322,39.05776008,CO
100 STEWART RD E,-92.33648204,38.94589638,CO
100 STRAWN RD ,-92.39657872,38.95807074,CO
100 SUMMIT PEAK DR ,-92.33603127,39.00682487,CO
100 SUNSHINE DR N,-92.2224573,38.94947201,CO
100 SWITZLER ST ,-92.33749522,38.95643796,CO
100 TENTH ST S,-92.32600804,38.9501966,CO
100 TEXAS AVE E,-92.33644008,38.96978474,CO
100 TEXAS AVE W,-92.33871118,38.97000853,CO
100 THIRD AVE ,-92.33634877,38.96198896,CO
100 THURMAN ST E,-92.33641986,38.97645066,CO
100 THURMAN ST W,-92.33851257,38.97757882,CO
100 TOWER DR ,-92.27218264,38.9523304,CO
100 TRENT CT ,-92.22466582,39.1126004,HA
100 ULSTER DR ,-92.24981802,38.95095813,CO
100 WALLABY WAY ,-92.33732039,38.99319528,CO
100 WAUGH ST ,-92.32328208,38.95034647,CO
100 WEST BRIARWOOD LN ,-92.3703872,38.95246787,CO
100 WESTWOOD AVE ,-92.34539185,38.95039078,CO
100 WILLIS AVE ,-92.32023798,38.95039998,CO
100 WILLOWBROOK DR ,-92.22312177,39.11295432,HA
1000 AKEMAN BRIDGE RD W,-92.35219842,39.04625137,CO
1000 ASHLAND RD ,-92.31973615,38.93898519,CO
1000 AUDUBON DR ,-92.29777091,38.93860209,CO
1000 AZOROS DR ,-92.35759418,38.87486521,CO
1000 BIG BEAR BLVD ,-92.32501451,38.97671721,CO
1000 BLUEBIRD LN E,-92.32543861,38.83642339,CO
1000 BOTNER RD W,-92.35906715,39.06593655,CO
1000 BOURN AVE ,-92.37314476,38.94318434,CO
1000 BROADWAY  E,-92.32623076,38.95130583,CO
1000 BROADWAY  W,-92.353106,38.95193814,CO
1000 BROOK TROUT CT ,-92.40761832,38.94548991,CO
1000 CALVIN DR E,-92.33191492,38.76319175,HB
1000 CANTERBURY DR ,-92.35392463,38.91515965,CO
1000 CEDAR GROVE BLVD S,-92.25772149,38.93837729,CO
1000 CLAUDELL LN ,-92.36547185,38.9636308,CO
1000 CLAYTON ST ,-92.34960724,38.96378072,CO
1000 CLUB HOUSE RD W,-92.36288603,38.75221461,HB
1000 CLUB VILLAGE DR ,-92.35464129,38.90946933,CO
1000 COHO CT ,-92.40127265,38.94485706,CO
1000 COLCHESTER RD W,-92.35275019,39.04099428,CO
1000 COLLEGE AVE N,-92.32080377,38.96152456,CO
1000 COOPER DR ,-92.328433,38.90838872,CO
1000 COWAN DR ,-92.36101373,38.94381419,CO
1000 DENNINGHOFF RD N,-92.43933359,38.96877743,CO
1000 DODD RD W,-92.35209897,39.11445721,CO
1000 DOLLY VARDEN DR ,-92.41247243,38.94589977,CO
1000 EIGHTH ST N,-92.32599519,38.96145155,CO
1000 ELLETA BLVD ,-92.32485959,38.97484527,CO
1000 FAIRVIEW RD ,-92.3784459,38.96658874,CO
1000 FAIRVIEW RD S,-92.3806267,38.94344673,CO
1000 FALCON DR ,-92.30214265,38.9373757,CO
1000 FAY ST ,-92.32239173,38.96110276,CO
1000 FOX HOLLOW RD E,-92.33232394,38.78086142,HB
1000 GOLDEN TROUT CT ,-92.40232472,38.94493217,CO
1000 GREEN MEADOWS RD W,-92.35381414,38.91246262,CO
1000 HARDIN ST ,-92.35091022,38.96370839,CO
1000 HAROLD CUNNINGHAM RD W,-92.36108864,38.78968947,HB
1000 HARRIS ST S,-92.4619424,39.13408202,HR
1000 HIGHWAY MM  E,-92.33186238,38.79454994,AS
1000 HOSPITAL DR ,-92.32392975,38.93622165,CO
1000 HULEN DR ,-92.37954386,38.9433721,CO
1000 I-70 DR SW  ,-92.35224289,38.96530815,CO
1000 JEFFERSON ST ,-92.34306393,38.96249088,CO
1000 JOHNMEYER LN S,-92.43055942,38.94787629,CO
1000 KENNESAW RIDGE RD ,-92.3241331,38.98829178,CO
1000 KNIPP ST ,-92.3720659,38.96592985,CO
1000 LAKESHORE DR ,-92.34668398,38.94199791,CO
1000 LOUISVILLE DR ,-92.40911982,38.94580123,CO
1000 MADISON ST ,-92.34383797,38.96281987,CO
1000 MANHATTAN DR ,-92.32709538,38.92061357,CO
1000 MAPLEWOOD DR ,-92.3622835,38.94326281,CO
1000 MARCASSIN DR ,-92.24915077,38.93818708,CO
1000 MARTIN DR ,-92.37433682,38.94306063,CO
1000 NIFONG BLVD W,-92.3550418,38.9065768,CO
1000 NORMAN DR ,-92.32711345,38.92132951,CO
1000 OLD 63  N,-92.30982021,38.96141255,CO
1000 PANNELL ST ,-92.32332027,38.96110687,CO
1000 PHEASANT RUN DR ,-92.30096353,38.93736794,CO
1000 PROSPECT ST ,-92.35334036,38.9433579,CO
1000 QUINCE CT E,-92.32628872,39.00689915,CO
1000 RANGELINE RD S,-92.19816946,38.93753984,CO
1000 ROLLINGWOOD DR ,-92.35325703,38.9202321,CO
1000 ROLLINS RD ,-92.35336888,38.94470161,CO
1000 ROLLINS ST ,-92.32572688,38.94138214,CO
1000 ROYAL BIRKDALE DR ,-92.35441677,38.90304442,CO
1000 SEVENTH ST N,-92.32904555,38.96190133,CO
1000 SMILEY LN ,-92.32523675,38.992669,CO
1000 SUNSET DR ,-92.3533269,38.94171834,CO
1000 SYCAMORE LN ,-92.3540791,38.91762649,CO
1000 TROBRIDGE RD W,-92.35244302,39.03936006,CO
1000 UNIVERSITY AVE ,-92.32602436,38.94602406,CO
1000 WAYNE RD ,-92.33503508,38.9395392,CO
1000 WEST BLVD N,-92.35229411,38.96405251,CO
1000 WESTPORT DR ,-92.38465211,38.94469863,CO
1000 WILLOWCREEK LN ,-92.35539159,38.9057946,CO
1000 WORLEY ST W,-92.35301104,38.95921438,CO
1000 WORSTELL LN W,-92.35235288,39.06077191,CO
1000 YALE  ,-92.37028647,38.94236868,CO
10000 BOWLING LN E,-92.18470191,38.89853295,CO
10000 EATON RD W,-92.48405017,39.13410661,HR
10000 GRAHAM RD W,-92.4877428,39.01782621,RO
10000 HAGUE RD N,-92.22233022,39.06605733,HA
10000 HERMAN NICHOLS RD N,-92.49973913,39.07420877,RO
10000 HIGHWAY VV  N,-92.33959816,39.07023692,CO
10000 HIGHWAY WW  E,-92.18465978,38.91780513,CO
10000 LOGAN RD E,-92.1858406,38.85335861,CO
10000 ROUTE H  E,-92.18547119,38.82144232,AS
10000 ROUTE Z  N,-92.16721976,39.06541935,CE
10000 SHARP RD E,-92.18700881,38.8170717,AS
10000 TIPTON RD N,-92.51294005,39.0768773,RO
10000 VAN COURT RD E,-92.18078922,39.0797625,HA
10001 ROUTE N  S,-92.35208558,38.8343743,CO
10001 SOUTH MILLSITE RD S,-92.1587005,38.83436901,AS
10001 ST CHARLES RD E,-92.18093052,38.97843557,CO
10001 SWINEY LN E,-92.17230558,39.2017803,CE
10001 VAN COURT RD E,-92.18094411,39.08099108,HA
10001 WALNUT GROVE LN W,-92.48795266,39.00498924,RO
10002 HAGUE RD N,-92.22116992,39.0648774,HA
10003 ROUTE N  S,-92.3501078,38.83463812,AS
1001 AUDUBON DR ,-92.29835201,38.9373622,CO
1001 AZOROS DR ,-92.35767774,38.87526604,CO
1001 BIG BEAR BLVD ,-92.32475401,38.97723932,CO
1001 BOB O LINK DR ,-92.30034774,38.93737163,CO
1001 BOOTH ST ,-92.12829012,39.20719305,CE
1001 BOURN AVE ,-92.37363713,38.94329324,CO
1001 BROADWAY  W,-92.35334794,38.95249997,CO
1001 BROOK TROUT CT ,-92.40821863,38.94552197,CO
1001 BUSINESS LOOP 70  E,-92.32434533,38.96440087,CO
1001 CALVERT HILL RD E,-92.32384124,39.05448784,CO
1001 CEDAR GROVE BLVD S,-92.25968857,38.93870465,CO
1001 CHERRY ST ,-92.32621452,38.95072221,CO
1001 CLAUDELL LN ,-92.36578245,38.96391906,CO
1001 CLAYTON ST ,-92.35018921,38.96383841,CO
1001 CLUB VILLAGE DR ,-92.35397441,38.91026439,CO
1001 COATS ST ,-92.32781553,38.9616745,CO
1001 COHO CT ,-92.4018287,38.94490747,CO
1001 COLCHESTER RD W,-92.35294943,39.04203885,CO
1001 COOPER DR ,-92.32767299,38.90855215,CO
1001 COVERED BRIDGE RD W,-92.35775933,38.86627132,CO
1001 DENNINGHOFF RD N,-92.44165068,38.96956537,CO
1001 DOLLY VARDEN DR ,-92.41296682,38.94576635,CO
1001 EIGHTH ST N,-92.32648524,38.96150567,CO
1001 ELLETA BLVD ,-92.32485447,38.9752248,CO
1001 FAIRVIEW RD ,-92.379261,38.96658959,CO
1001 FAIRVIEW RD S,-92.38331701,38.94220879,CO
1001 FALCON DR ,-92.30274081,38.9374054,CO
1001 FAY ST ,-92.32297003,38.96128928,CO
1001 FOX HOLLOW RD E,-92.33233671,38.78207526,AS
1001 GARTH AVE N,-92.3388633,38.9622815,CO
1001 GOLDEN TROUT CT ,-92.40287029,38.94500236,CO
1001 GRAND AVE ,-92.33671125,38.96231413,CO
1001 HARDIN ST ,-92.35145905,38.96369928,CO
1001 HIGH POINT LN E,-92.33094166,38.86081052,CO
1001 HIGHWAY MM  E,-92.33220298,38.79522605,AS
1001 HIGHWAY UU  N,-92.42771447,38.96789822,CO
1001 HULEN DR ,-92.38020887,38.94320033,CO
1001 JEFFERSON ST ,-92.34345868,38.96251507,CO
1001 JEWELL AVE ,-92.34117532,38.96233386,CO
1001 JOHNMEYER LN S,-92.43272055,38.94772053,CO
1001 LA RAIL DR ,-92.3539616,38.92234037,CO
1001 LAGRANGE CT ,-92.34275748,38.94012219,CO
1001 LAKE POINT LN ,-92.35432695,38.92163844,CO
1001 LOUISVILLE DR ,-92.40957491,38.94567812,CO
1001 MADISON ST ,-92.34424902,38.96281229,CO
1001 MANHATTAN DR ,-92.3270949,38.92102608,CO
1001 MAPLEWOOD DR ,-92.36475595,38.94365988,CO
